---------------------------------
| rollout/           |          |
|    ep_len_mean     | 63.3     |
|    ep_rew_mean     | -545     |
| time/              |          |
|    fps             | 2239     |
|    iterations      | 1        |
|    time_elapsed    | 1        |
|    total_timesteps | 308408   |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 70.5        |
|    ep_rew_mean          | -530        |
| time/                   |             |
|    fps                  | 1364        |
|    iterations           | 2           |
|    time_elapsed         | 4           |
|    total_timesteps      | 311480      |
| train/                  |             |
|    approx_kl            | 0.071162984 |
|    clip_fraction        | 0.43        |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.549      |
|    explained_variance   | 0.178       |
|    learning_rate        | 7e-05       |
|    loss                 | -0.0675     |
|    n_updates            | 2430        |
|    policy_gradient_loss | -0.0504     |
|    std                  | 0.278       |
|    value_loss           | 0.0176      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 66          |
|    ep_rew_mean          | -492        |
| time/                   |             |
|    fps                  | 1245        |
|    iterations           | 3           |
|    time_elapsed         | 7           |
|    total_timesteps      | 314552      |
| train/                  |             |
|    approx_kl            | 0.060303155 |
|    clip_fraction        | 0.414       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.552      |
|    explained_variance   | 0.534       |
|    learning_rate        | 7e-05       |
|    loss                 | -0.0992     |
|    n_updates            | 2440        |
|    policy_gradient_loss | -0.053      |
|    std                  | 0.279       |
|    value_loss           | 0.0133      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 59.8        |
|    ep_rew_mean          | -463        |
| time/                   |             |
|    fps                  | 1144        |
|    iterations           | 4           |
|    time_elapsed         | 10          |
|    total_timesteps      | 317624      |
| train/                  |             |
|    approx_kl            | 0.051754013 |
|    clip_fraction        | 0.368       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.562      |
|    explained_variance   | 0.601       |
|    learning_rate        | 7e-05       |
|    loss                 | -0.035      |
|    n_updates            | 2450        |
|    policy_gradient_loss | -0.0461     |
|    std                  | 0.28        |
|    value_loss           | 0.00868     |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 63.8       |
|    ep_rew_mean          | -481       |
| time/                   |            |
|    fps                  | 1099       |
|    iterations           | 5          |
|    time_elapsed         | 13         |
|    total_timesteps      | 320696     |
| train/                  |            |
|    approx_kl            | 0.04699784 |
|    clip_fraction        | 0.367      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.572     |
|    explained_variance   | 0.792      |
|    learning_rate        | 7e-05      |
|    loss                 | -0.0856    |
|    n_updates            | 2460       |
|    policy_gradient_loss | -0.0524    |
|    std                  | 0.28       |
|    value_loss           | 0.00763    |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 61.7        |
|    ep_rew_mean          | -477        |
| time/                   |             |
