---------------------------------
| rollout/           |          |
|    ep_len_mean     | 72       |
|    ep_rew_mean     | -470     |
| time/              |          |
|    fps             | 3852     |
|    iterations      | 1        |
|    time_elapsed    | 2        |
|    total_timesteps | 685240   |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 66.8        |
|    ep_rew_mean          | -453        |
| time/                   |             |
|    fps                  | 1848        |
|    iterations           | 2           |
|    time_elapsed         | 8           |
|    total_timesteps      | 693432      |
| train/                  |             |
|    approx_kl            | 0.034933653 |
|    clip_fraction        | 0.315       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.31       |
|    explained_variance   | -0.00385    |
|    learning_rate        | 5e-05       |
|    loss                 | -0.0457     |
|    n_updates            | 3640        |
|    policy_gradient_loss | -0.0323     |
|    std                  | 0.337       |
|    value_loss           | 0.037       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 70.1        |
|    ep_rew_mean          | -472        |
| time/                   |             |
|    fps                  | 1625        |
|    iterations           | 3           |
|    time_elapsed         | 15          |
|    total_timesteps      | 701624      |
| train/                  |             |
|    approx_kl            | 0.034157395 |
|    clip_fraction        | 0.294       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.32       |
|    explained_variance   | 0.287       |
|    learning_rate        | 5e-05       |
|    loss                 | -0.0495     |
|    n_updates            | 3650        |
|    policy_gradient_loss | -0.0386     |
|    std                  | 0.338       |
|    value_loss           | 0.0165      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 68.7        |
|    ep_rew_mean          | -455        |
| time/                   |             |
|    fps                  | 1511        |
|    iterations           | 4           |
|    time_elapsed         | 21          |
|    total_timesteps      | 709816      |
| train/                  |             |
|    approx_kl            | 0.032829434 |
|    clip_fraction        | 0.297       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.33       |
|    explained_variance   | 0.516       |
|    learning_rate        | 5e-05       |
|    loss                 | -0.076      |
|    n_updates            | 3660        |
|    policy_gradient_loss | -0.0404     |
|    std                  | 0.338       |
|    value_loss           | 0.013       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 65.6        |
|    ep_rew_mean          | -446        |
| time/                   |             |
|    fps                  | 1471        |
|    iterations           | 5           |
|    time_elapsed         | 27          |
|    total_timesteps      | 718008      |
| train/                  |             |
|    approx_kl            | 0.034354113 |
|    clip_fraction        | 0.298       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.33       |
|    explained_variance   | 0.796       |
|    learning_rate        | 5e-05       |
|    loss                 | -0.103      |
|    n_updates            | 3670        |
|    policy_gradient_loss | -0.0436     |
|    std                  | 0.338       |
|    value_loss           | 0.0111      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 63.5        |
|    ep_rew_mean          | -431        |
| time/                   |             |
|    fps                  | 1434        |
|    iterations           | 6           |
|    time_elapsed         | 34          |
|    total_timesteps      | 726200      |
| train/                  |             |
|    approx_kl            | 0.036120497 |
|    clip_fraction        | 0.305       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.34       |
|    explained_variance   | 0.836       |
|    learning_rate        | 5e-05       |
|    loss                 | -0.0567     |
|    n_updates            | 3680        |
|    policy_gradient_loss | -0.0432     |
|    std                  | 0.34        |
|    value_loss           | 0.00741     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 67.8        |
|    ep_rew_mean          | -451        |
| time/                   |             |
|    fps                  | 1395        |
|    iterations           | 7           |
|    time_elapsed         | 41          |
|    total_timesteps      | 734392      |
| train/                  |             |
|    approx_kl            | 0.035268646 |
|    clip_fraction        | 0.307       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.34       |
|    explained_variance   | 0.824       |
|    learning_rate        | 5e-05       |
|    loss                 | -0.0511     |
|    n_updates            | 3690        |
|    policy_gradient_loss | -0.042      |
|    std                  | 0.34        |
